ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B1L01-I-12	這	这	zhè / zhèi	Det	this	ankiweb ccc book
B1L01-I-18	臺灣（＝台灣）	台湾	Táiwān		Taiwan	Place book simp
B1L01-I-20	請問	请问	qǐngwèn		May I ask you... Excuse me, ...	slides quizlet book
B1L01-I-23	不客氣	不客气	búkèqì		You're welcome.	slides quizlet book
B1L01-I-24	你好	你好	Nǐ hǎo		How are you? Hello.	slides quizlet book
B1L01-II-12	哪	哪	nǎ / něi	Det	which	ankiweb ccc book
B1L01-II-15	烏龍茶	乌龙茶	Wūlóng chá		Oolong tea	ankiweb ccc book
B1L01-II-18	對不起	对不起	duìbùqǐ		I'm sorry.	book
B1L01-II-19	哪國	哪国	nǎ guó / něi guó		Which country?	book
B1L02-I-02	馬安同	马安同	Mǎ Āntóng		a man from the Republic of Honduras	ankiweb ccc book
B1L02-I-03	的	的	de	Ptc	modification marker	slides quizlet ankiweb ccc book
B1L02-I-15	張	张	zhāng	M	measure word for flat objects (e.g., paper, tickets)	slides quizlet ankiweb ccc book
B1L02-I-22	請進	请进	qǐng jìn		Please come in!	ankiweb ddsg ccc quizlet
B1L02-II-01	田中誠一	田中诚一	Tiánzhōng Chéngyī		a man from Japan	ankiweb ccc book
B1L02-II-02	伯母	伯母	bómǔ	N	aunt; here a polite term for a friend's mother regardless of age	quizlet book
B1L02-II-04	名字	名字	míngzi	N	name	quizlet ankiweb ccc book
B1L03-I-16	好玩	好玩	hǎowán	Vs	interesting, fun	quizlet book
B1L03-I-20	怎麼樣	怎么样	zěnmeyàng	Vs	How about it? How does that sound? What do you think?	quizlet ankiweb ccc book
B1L03-I-21	啊	啊	a	Ptc	sentence-final particle	slides ankiweb ddsg ccc book
B1L03-I-23	好啊	好啊	hǎo a		OK	ankiweb ccc book
B1L03-II-09	吧	吧	ba	Ptc	sentence-final particle for suggestion	slides ankiweb ddsg ccc book
B1L03-II-17	越南	越南	Yuènán		Vietnam	slides quizlet ankiweb ccc book
B1L03-II-18	好不好	好不好	hǎo bù hǎo		How about...? How does that sound?	quizlet ankiweb ccc book
B1L04-II-08	能	能	néng	Vaux	can, to be able to	quizlet book
B1L04-II-10	那	那	nà / nèi	Det	that	ankiweb ccc book
B1L04-II-16	千	千	qiān	N	thousand	book
B1L05-I-08	小吃	小吃	xiǎochī	N	light repast, snack	quizlet ankiweb ccc book
B1L05-I-18	是啊	是啊	shì a		That's right.	quizlet book
B1L05-II-16	有一點	有一点	yǒu yìdiǎn		a little	quizlet book
B1L06-I-08	風景	风景	fēngjǐng	N	scenery, landscape	quizlet ankiweb ccc book
B1L06-I-14	真的	真的	zhēnde	Adv	really, truly	quizlet ankiweb ccc book
B1L06-II-09	商店	商店	shāngdiàn	N	store, shop	slides ankiweb ddsg ccc book
B1L07-I-02	KTV	KTV		N	Karaoke	quizlet
B1L07-I-12	大安	大安	Dà'ān		Da-an (name of a KTV named after a district in Taipei, where Shida is also located)	book
B1L07-I-13	下次	下次	xià cì		next time	quizlet book
B1L07-I-17	再見	再见	zàijiàn		Goodbye.	quizlet book
B1L08-I-01	坐	坐	zuò	V	to take by, to travel by	slides quizlet ddsg book
B1L08-I-10	車票	车票	chēpiào	N	(train, bus) ticket	quizlet book
B1L08-I-13	又	又	yòu	Adv	both...and...	slides quizlet book
B1L08-I-18	高鐵	高铁	gāotiě		High Speed Rail (HSR)	quizlet ankiweb ccc book
B1L08-I-19	網路上	网路上	wǎnglù shàng		on the Internet	quizlet ankiweb ccc book
B1L08-I-20	便利商店	便利商店	biànlì shāngdiàn		convenience store	quizlet ankiweb ccc book
B1L08-II-06	載	载	zài	V	to give someone a ride (on / in a vehicle, e.g. motorcycle, bicycle or car)	ankiweb ccc book
B1L08-II-07	捷運	捷运	jiéyùn	N	Mass Rapid Transit (MRT)	slides ankiweb ddsg ccc book
B1L08-II-09	故宮博物院（故宮）	故宫博物院（故宫）	Gùgōng Bówùyuàn		National Palace Museum	book
B1L08-II-11	公共汽車（公車）	公共汽车（公车）	gōnggòng qìchē		bus	book
B1L09-I-01	星期 + number	星期 + number	xīngqí	N	week	slides quizlet
B1L09-I-11	下個星期	下个星期	xià ge xīngqí		next week	quizlet book
B1L09-I-12	有時候	有时候	yǒu shíhòu		sometimes	quizlet book
B1L09-II-01	女 + noun	女 + noun	nǚ	N	girl-, female-	slides quizlet
B1L09-II-02	number + 月	number + 月	yuè	N	month of a year	slides quizlet
B1L09-II-03	number + 號	number + 号	hào	N	date, day of a month	slides quizlet
B1L09-II-10	逛	逛	guàng	V	to wander around, to look around	quizlet ankiweb ccc book
B1L10-I-05	塊	块	kuài	M	measure word for pieces of food (e.g., meat, cake)	ankiweb ccc book
B1L10-I-10	吧	吧	ba	Ptc	sentence-final particle for guessing	slides ankiweb ddsg ccc book
B1L10-II-18	上個月	上个月	shàng ge yuè		last month	quizlet ankiweb ccc book
B1L10-II-19	這些	这些	zhèxiē		these	quizlet ankiweb ccc book
B1L11-I-14	空	空	kōng	Vs	vacant, empty	slides ankiweb ddsg ccc book
B1L11-I-22	林	林	Lín		Chinese last name, common in Taiwan	ankiweb ccc book
B1L11-II-05	問題	问题	wèntí	N	problem, question	slides ankiweb ddsg ccc book
B1L12-I-01	計畫	计画	jìhuà	V	to plan to	simp wikt
B1L12-I-17	到	到	dào	V	to go/come to	quizlet book
B1L12-II-05	以後	以后	yǐhòu	N	afterwards	slides quizlet quizlet ankiweb ddsg ccc book
B1L12-II-09	這樣	这样	zhèyàng	N	this kind (of)	quizlet book
B1L12-II-15	試試看	试试看	shìshìkàn		to give it a try, to try and see what happens	quizlet book
B1L13-I-02	快樂	快乐	kuàilè	Vs	happy	quizlet ankiweb ccc book
B1L13-I-04	啊	啊	a	Ptc	a particle indicating a realization	quizlet ankiweb ccc book
B1L13-I-05	怎麼	怎么	zěnme	Adv	How come?	quizlet ankiweb ccc book
B1L13-I-06	忘（了）	忘（了）	wàngle	Vpt	to forget	slides book
B1L13-I-07	記得	记得	jìde	Vst	to remember	quizlet ankiweb ccc book
B1L13-I-14	一樣	一样	yíyàng	Vs	the same, alike	slides ankiweb ddsg ccc book
B1L13-I-19	生日快樂	生日快乐	shēngrì kuàilè		Happy Birthday.	quizlet book
B1L13-I-21	好久不見	好久不见	hǎojiǔ bújiàn		long time no see	slides ankiweb ddsg ccc book
B1L13-I-22	不必客氣	不必客气	búbì kèqì		No need to stand on formalities, i.e., It's my pleasure.	quizlet book
B1L13-I-23	太客氣	太客气	tài kèqì		That's very kind of you.	slides quizlet book
B1L13-II-06	麵線	面线	miànxiàn	N	extra fine noodles	quizlet ankiweb ccc book
B1L13-II-08	一點	一点	yìdiǎn	Vs	a little, some	quizlet ankiweb ccc book
B1L13-II-14	哪裡，哪裡	哪里，哪里	Nǎlǐ, nǎlǐ		Don't mention it. It's my pleasure.	quizlet book
B1L13-II-15	大部分	大部分	dà bùfèn		most (of), mostly	slides ankiweb ddsg ccc book
B1L14-I-06	想	想	xiǎng	Vst	to miss (someone)	quizlet ankiweb ddsg ccc book
B1L14-I-15	玉山	玉山	Yùshān		Yu Shan (Mount Jade), tallest mountain in central Taiwan	quizlet ankiweb ccc book
B1L14-I-18	十二月底	十二月底	shí'èryuè dǐ		the end of December	quizlet ankiweb book
B1L15-I-11	生病	生病	shēngbìng	Vp-sep	to fall ill	slides quizlet ddsg
B1L15-I-19	休息	休息	xiūxí	Vi	to take a rest	slides ankiweb ddsg ccc book
B1L15-II-15	關心	关心	guānxīn	Vst	to be concerned about	quizlet
B1L15-II-20	不用了	不用了	búyòng le		It's not necessary.	slides quizlet book
B1L15-II-22	回家	回家	huí jiā		go home	quizlet ankiweb ccc book
B1L15-II-23	最好	最好	zuìhǎo		It would be best.../ (You) should...	quizlet book
B2L01-I-01	走	走	zǒu	Vi	to get to	slides ankiweb ddsg ccc
B2L01-I-03	幫忙	帮忙	bāngmáng	V-sep	to help	slides ankiweb ddsg ccc
B2L01-I-04	迷路	迷路	mílù	Vp-sep	to be lost, to have lost directions	slides ankiweb ddsg ccc
B2L01-I-08	過	过	guò	V	to go past, to cross	slides ankiweb ddsg ccc book
B2L01-I-17	那邊	那边	nàbiān / nèibiān	N	over there, yonder	ankiweb ccc book
B2L01-I-18	師大（師範大學）	师大（师范大学）	Shīdà (Shīfàn Dàxué)		NTNU (National Taiwan Normal University)	book
B2L01-I-19	和平東路	和平东路	Hépíng Dōng Lù		Heping East Road	slides quizlet ankiweb ccc book
B2L01-II-03	好用	好用	hǎoyòng	Vs	easy to use, handy	slides ankiweb ddsg ccc
B2L01-II-07	巷子	巷子	xiàngzi	N	alley	slides ankiweb ddsg ccc book
B2L01-II-08	餓	饿	è	Vs	hungry	slides ankiweb ddsg ccc
B2L01-II-09	一邊	一边	yìbiān	Adv	indicates doing two things simultaneously, as, while	slides ankiweb ddsg ccc book
B2L01-II-10	發現	发现	fāxiàn	Vpt	to discover	slides ankiweb ddsg ccc
B2L01-II-12	背包	背包	bēibāo	N	backpack	slides ankiweb ddsg ccc book
B2L01-II-18	本子	本子	běnzi	N	notebook	slides ankiweb ddsg ccc book
B2L02-I-18	台北101	台北101	Táiběi 101		Taipei 101, the tallest building in Taiwan. It was also the tallest building in the world from 2004 to 2010.	Place slides quizlet book
B2L02-I-20	2號線	2号线	èr hào xiàn		Line 2 (of the Taipei MRT)	slides quizlet book
B2L02-II-02	轉機	转机	zhuǎn jī	V-sep	to transfer (flights)	slides ankiweb ddsg ccc book
B2L03-I-14	不夠	不够	bú gòu	Adv	not quite, not...enough	book
B2L03-I-19	報紙	报纸	bàozhǐ	N	newspapers	slides ankiweb ddsg ccc book
B2L04-I-08	談	谈	tán	V	to talk over, to talk about, to discuss	quizlet ankiweb book
B2L04-I-17	薪水	薪水	xīnshuǐ	N	pay	slides quizlet ankiweb ccc book
B2L04-I-21	鐘點費	钟点费	zhōngdiǎnfèi	N	hourly pay	quizlet book
B2L04-II-03	履歷表	履历表	lǚlìbiǎo	N	resume	slides quizlet ddsg book
B2L05-I-03	新娘	新娘	xīnniáng	N	bride	slides ankiweb ddsg ccc
B2L05-I-17	看起來	看起来	kàn qǐlái		to look, it appears to me...	slides quizlet book
B2L06-I-05	腳踏車	脚踏车	jiǎotàchē	N	bicycle	slides ankiweb ddsg ccc book
B2L06-I-07	網站	网站	wǎngzhàn	N	website	slides ankiweb ddsg ccc book
B2L06-I-17	別的	别的	biéde	Det	other	book simp
B2L06-I-28	慢慢來	慢慢来	mànmàn lái		take your time	slides ankiweb ddsg ccc book
B2L06-I-29	不急	不急	bùjí		don't rush, no hurry	quizlet ankiweb book
B2L06-II-11	留	留	liú	Vi/V	to stay to leave behind	book
B2L06-II-17	放心	放心	fàngxīn	Vs-sep	not to worry, to rest assured	slides ankiweb ddsg ccc book
B2L07-I-13	不壞	不坏	bú huài	Vs	not too bad	slides ankiweb ddsg ccc book
B2L07-I-14	天天	天天	tiāntiān		every day	book
B2L07-I-19	怎麼辦	怎么办	zěnmebàn		What now?	slides ankiweb ddsg ccc book
B2L07-II-07	一定	一定	yídìng	Vs-attr	fixed, set, at a certain...	quizlet book
B2L08-I-03	見	见	jiàn	Ptc	accomplishment complete (in perception)	slides ankiweb ddsg ccc book
B2L08-I-05	體育館	体育馆	tǐyùguǎn	N	gym	slides quizlet ankiweb ccc book
B2L08-I-15	下去	下去	xiàqù	Ptc	a temporal particle meaning to continue with an action	slides ankiweb ddsg ccc book
B2L08-I-19	學會	学会	xué huì		to learn, to master	quizlet book
B2L08-I-21	走不了路	走不了路	zǒu bù liǎo lù		can't walk	slides quizlet ankiweb book
B2L08-II-05	完	完	wán	Ptc	phase marker for 'completion', to finish...	quizlet book
B2L08-II-14	練	练	liàn	V	to practice, to train, to drill	quizlet
B2L10-I-01	馬丁	马丁	Mǎdīng		Martin, a man from the UK	quizlet ankiweb ccc book
B2L10-I-02	包	包	bāo	V	to wrap	slides ankiweb ddsg ccc book
B2L10-I-27	韓國	韩国	Hánguó		(South) Korea	Place slides quizlet ddsg ccc book
B2L10-I-28	看不出來	看不出来	kàn bù chūlái		It does not occur to me that..., can't tell (i.e., ascertain)	quizlet book
B2L10-II-01	學期	学期	xuéqí	N	semester	slides quizlet ddsg book
B2L11-I-04	建議	建议	jiànyì	V	to suggest, to recommand	slides quizlet
B2L11-I-07	順便	顺便	shùnbiàn	Adv	without making any extra effort, on the way, while doing something else, while one is at it	slides quizlet ankiweb ccc book
B2L11-I-23	水上活動	水上活动	shuǐshàng huódòng		water activities, water recreation	slides quizlet ankiweb ccc book
B2L12-I-09	吃素	吃素	chīsù	V-sep	to be a vegetarian, to eat vegetarian food	slides ankiweb ddsg ccc book
B2L12-II-01	只要	只要	zhǐyào	Conj	as long as	slides ankiweb ddsg ccc book
B2L12-II-05	關係	关系	guānxi	N	relationship	slides ankiweb ddsg ccc book
B2L12-II-17	營養	营养	yíngyǎng	N	nutrition	slides ankiweb ddsg ccc book
B2L13-I-01	林愛麗	林爱丽	Lín Àilì		Lin Aili, a woman from Canada	slides ankiweb ddsg ccc book
B2L13-I-12	啦	啦	la	Ptc	a sentence-final particle indicating a question, 了+啊	quizlet ankiweb ddsg ccc book
B2L13-II-07	節省	节省	jiéshěng	V	to save	slides ankiweb ddsg ccc book
B2L14-I-02	徵求	征求	zhēngqiú	V	to seek, to invite applications for	slides ankiweb ddsg ccc book
B2L14-I-05	畢業	毕业	bìyè	Vp-sep	to graduate	slides ankiweb ddsg ccc book
B2L14-I-08	想法	想法	xiǎngfǎ	N	thoughts, way of thinking, idea	slides ankiweb ddsg ccc book
B2L14-I-12	實現	实现	shíxiàn	Vp	to come true, to realize	slides ankiweb ddsg ccc book
B2L14-I-21	捨不得	舍不得	shěbùde		reluctant to part with	ankiweb ccc wikt book
B2L14-II-15	目的	目的	mùdì	N	goal, objective	slides quizlet ddsg ccc book
B2L14-II-24	企業管理系（企管系）	企业管理系（企管系）	qìyè guǎnlǐ xì		department of business management	book
B2L14-II-25	國際關係	国际关系	guójì guānxì		international relations	slides ankiweb ddsg ccc book
B2L15-I-04	打擾	打扰	dǎrǎo	V	to trouble (someone), to disturb	slides ankiweb ddsg ccc book
B2L15-I-14	除夕夜	除夕夜	chúxì yè		Lunar New Year's Eve	quizlet ddsg book
B2L15-II-09	說法	说法	shuōfǎ	N	way of saying things, a theory	slides quizlet ddsg ccc book
B2L15-II-16	起來	起来	qǐlái	Ptc	As a resultative particle, it indicates the beginning of an action of state.	slides book
B2L15-II-19	年年有餘	年年有余	niánnián yǒuyú		abundance every year	slides ankiweb ccc wikt book
B2L15-II-23	大年初一	大年初一	dànián chūyī		first day of the Lunar New Year	slides ankiweb ddsg ccc book
B3L01-I-01	安德思	安德思	Ān Désī		a man from Honduras	slides ankiweb ddsg ccc book
B3L01-I-03	何雅婷	何雅婷	Hé Yǎtíng		a woman from Taiwan	slides quizlet ankiweb ddsg ccc
B3L01-I-14	說明	说明	shuōmíng	N	instructions, explanation	slides quizlet ankiweb ddsg ccc
B3L01-I-16	位子	位子	wèizi	N	seat, place	slides quizlet ankiweb ddsg ccc
B3L01-I-17	旁聽	旁听	pángtīng	V	to audit, to sit in (on a class)	ankiweb book
B3L01-I-18	分	分	fēn	N	points	slides ankiweb ddsg ccc book
B3L01-I-23	轉	转	zhuǎn	V	to transfer (to a different major)	slides quizlet ankiweb ddsg ccc
B3L01-I-31	事	事	shì	N	issue, matter, event, thing	slides quizlet ankiweb ddsg ccc
B3L01-II-12	外語	外语	wàiyǔ	N	foreign language	slides quizlet ankiweb ddsg ccc
B3L01-II-17	手續	手续	shǒuxù	N	procedures	slides quizlet ankiweb ddsg ccc
B3L01-II-20	考上	考上	kǎoshàng		to test into	slides ankiweb ddsg ccc book
B3L01-II-21	推薦信	推荐信	tuījiàn xìn		a letter of recommendation	slides quizlet ankiweb ddsg ccc
B3L02-I-01	起	起	qǐ	Vp	starting from...	quizlet book
B3L02-I-03	一般	一般	yìbān	Adv	generally; in general	slides quizlet ankiweb ddsg ccc
B3L02-I-08	品質	品质	pǐnzhí	N	quality	slides quizlet ankiweb ddsg ccc
B3L02-I-18	刷卡	刷卡	shuākǎ	V-sep	to swipe, i.e., use a credit card	slides quizlet ankiweb ddsg ccc
B3L02-I-23	發票	发票	fāpiào	N	receipt	slides quizlet ankiweb ddsg ccc
B3L02-I-28	週年慶	周年庆	zhōunián qìng		anniversary	slides quizlet ankiweb ddsg ccc
B3L02-I-29	一般來說	一般来说	yìbān láishuō		generally speaking	slides quizlet ankiweb ddsg ccc
B3L02-I-30	試穿	试穿	shì chuān		to try on (garments)	slides quizlet ankiweb ddsg ccc
B3L02-I-31	打完折	打完折	dǎ wán zhé		after discount	ankiweb ddsg ccc book
B3L02-I-32	弄丟	弄丢	nòng diū		to lose	slides quizlet ankiweb ccc book
B3L02-II-04	門市	门市	ménshì	N	retail outlet	slides quizlet ankiweb ddsg ccc
B3L02-II-10	解釋	解释	jiěshì	N	explanation	slides quizlet ankiweb ccc book
B3L02-II-22	吃到飽	吃到饱	chī dào bǎo		unlimited data (lit. all you can eat)	slides quizlet ankiweb ddsg ccc
B3L03-I-01	陳敏萱	陈敏萱	Chén Mǐnxuān		a woman from the Netherlands	mquizlet
B3L03-I-02	高橋健太	高桥健太	Gāoqiáo Jiàntài		a man from Japan	mquizlet
B3L03-I-24	發霉	发霉	fāméi	Vp-sep	to mildew	slides quizlet ankiweb ddsg ccc
B3L03-I-31	荷蘭	荷兰	Hélán		the Netherlands (lit. Holland)	slides quizlet ankiweb ddsg ccc
B3L03-I-32	出大太陽	出大太阳	chū dà tàiyáng		to be blazing hot	slides quizlet ankiweb ccc book
B3L03-I-33	颳風	刮风	guā fēng		to be windy (lit. blow wind)	slides quizlet ankiweb ddsg ccc
B3L03-I-37	後母臉	后母脸	hòumǔ liǎn		stepmother's face, i.e., stern and cruel look	slides quizlet ankiweb ddsg
B3L03-II-05	農曆	农历	nónglì	N	the lunar calendar (lit. the agricultural calendar)	slides quizlet ankiweb ddsg ccc
B3L03-II-14	戴	戴	dài	V	to wear (items other than those that cover the torso, legs, or feet, mostly ornamental items.)	ankiweb ccc book
B3L03-II-22	收成	收成	shōuchéng	N	harvest	slides quizlet ankiweb ddsg ccc
B3L03-II-28	月餅	月饼	yuèbǐng	N	moon cake (shaped like the moon)	slides quizlet ankiweb ddsg ccc
B3L03-II-31	溫馨	温馨	wēnxīn	Vs	warm, heart-warming	slides quizlet ankiweb ccc book
B3L03-II-32	端午節	端午节	Duānwǔ jié		the Dragon Boat Festival (the 5th day of the 5th month)	ankiweb ccc book
B3L03-II-33	中秋節	中秋节	Zhōngqiū jié		the Mid-autumn Moon Festival (the 15th day of the 8th month)	slides quizlet ankiweb ccc book
B3L03-II-34	雄黃酒	雄黄酒	xiónghuáng jiǔ		realgar liquor, a wine seasoned with realgar, a type of arsenic, and is traditionally considered to be an antidote to other poisons	slides quizlet ankiweb ccc book
B3L03-II-35	古時候	古时候	gǔ shíhòu		historically; in ancient times	slides quizlet ankiweb ddsg ccc
B3L03-II-36	趕走	赶走	gǎnzǒu		to drive away	ankiweb ccc book
B3L04-I-15	而	而	ér	Adv	on the other hand, rather	ankiweb ccc book
B3L04-I-18	剛剛	刚刚	gānggāng	Adv	just now	ankiweb ccc book
B3L04-I-23	跨年	跨年	kuànián	Vi	welcome in the (solar) New Year (lit. span the years)	slides quizlet book
B3L04-I-26	感覺	感觉	gǎnjué	N	feeling; a feeling of...	quizlet book
B3L04-I-29	紅茶	红茶	hóngchá	N	black tea (lit. red tea)	slides quizlet ankiweb ddsg ccc
B3L04-II-04	泡	泡	pào	V	to steep (tea) to soak oneself in, i.e., to bath in	slides ankiweb ccc
B3L04-II-05	錯過	错过	cuòguò	Vpt	to miss (an opportunity)	slides quizlet ankiweb ddsg ccc
B3L04-II-06	營業	营业	yíngyè	Vi	to open for business, in operation (businesses)	slides quizlet ankiweb ddsg ccc
B3L04-II-12	風俗	风俗	fēngsú	N	customs	slides quizlet ankiweb ddsg ccc
B3L04-II-26	赤崁樓	赤崁楼	Chìkǎn Lóu		Chihkan Tower, a.k.a. Fort Provintia (stronghold built by the Dutch, in Tainan, in the 17th century)	book
B3L04-II-28	木造	木造	mù zào		wooden; made from wood	mquizlet
B3L05-I-05	上線	上线	shàngxiàn	V-sep	to log in, go online	slides quizlet ankiweb ddsg ccc
B3L05-I-07	倒楣	倒楣	dǎoméi	Vs	out of luck, down on one's luck	slides quizlet ankiweb ddsg
B3L05-I-08	樂團	乐团	yuètuán	N	(music) band	slides quizlet ankiweb ddsg ccc
B3L05-I-14	不如	不如	bùrú	Vst	inferior to	slides quizlet ankiweb ddsg ccc
B3L05-I-15	現場	现场	xiànchǎng	N	live; lit. on-site	slides quizlet ankiweb ddsg ccc
B3L05-I-20	內容	内容	nèiróng	N	content	slides quizlet ankiweb ddsg ccc
B3L05-I-21	色情	色情	sèqíng	Vs	pornographic; obscene	slides quizlet ankiweb ddsg ccc
B3L05-I-25	算了	算了	suàn le		forget it; let it be!	slides quizlet ankiweb ddsg ccc
B3L05-I-26	受歡迎	受欢迎	shòu huānyíng		well-received; well-liked; popular	slides quizlet ankiweb ddsg ccc
B3L05-II-01	撞衫	撞衫	zhuàngshān	Vs	"wardrobe clash", more than one person unintentionally wearing duplicate garments	slides quizlet ddsg ccc book
B3L05-II-07	主角	主角	zhǔjiǎo	N	leading role, leading actor	slides quizlet ankiweb ddsg ccc
B3L05-II-11	害	害	hài	V	adversely impacting somebody so that they...	quizlet book
B3L05-II-12	既然	既然	jìrán	Conj	since, given that...	quizlet book
B3L05-II-24	落伍	落伍	luòwǔ	Vs	behind the times, passé, old-fashioned	slides quizlet ankiweb book
B3L05-II-26	想像	想象	xiǎngxiàng	V	to imagine	simp wikt
B3L05-II-34	小題大作	小题大作	xiǎotí dàzuò		to make a mountain out of a molehill, to make a big deal of nothing	slides quizlet ankiweb ddsg ccc
B3L06-I-04	種	种	zhòng	V	to grow (plants)	slides quizlet ankiweb ccc book
B3L06-I-11	辛苦	辛苦	xīnkǔ	Vs	tough, hard, bitter (life, work, etc.)	slides quizlet ankiweb ddsg ccc
B3L06-I-21	片	片	piàn	M	measure word for a stretch, swath (of land)	slides quizlet ankiweb ddsg ccc
B3L06-I-30	忙得過來	忙得过来	máng de guòlái		to be able to manage everything	slides quizlet ankiweb ccc book
B3L06-I-32	看天吃飯	看天吃饭	kàntiān chīfàn		livelihood depends on the whims of nature	slides quizlet ankiweb ccc book
B3L06-II-03	食材	食材	shícái	N	food materials, ingredients	slides quizlet ankiweb ddsg ccc
B3L06-II-07	對待	对待	duìdài	V	to treat	slides quizlet ankiweb ccc book
B3L06-II-15	其中	其中	qízhōng	N	of these, of which, amongst which	slides quizlet ankiweb ddsg ccc
B3L06-II-20	拜訪	拜访	bàifǎng	V	to pay someone a visit	slides quizlet ankiweb ddsg ccc
B3L06-II-27	休閒	休闲	xiūxián	Vs	leisure	slides quizlet ankiweb ccc book
B3L07-I-06	嗯	嗯	en	Ptc	an interjection indicating the speaker's agreement	slides quizlet ankiweb ddsg
B3L07-I-12	孤單	孤单	gūdān	Vs	lonely	slides quizlet ankiweb ddsg ccc
B3L07-I-19	打	打	dǎ	V	to hit, beat, smack, slap	slides quizlet ankiweb ddsg ccc
B3L07-I-20	分手	分手	fēnshǒu	Vp	to break up (said of romantic relationships)	slides quizlet ankiweb ddsg ccc
B3L07-I-37	幸福	幸福	xìngfú	N	happiness, blessing	ankiweb ddsg ccc book
B3L07-I-39	當成	当成	dāngchéng		to consider, view as, regard	slides quizlet ankiweb ccc book
B3L07-I-40	忍不住	忍不住	rěn bú zhù		to be beyond the limits of endurance	mquizlet
B3L07-II-06	公公	公公	gōnggōng	N	father-in-law (of a female)	slides quizlet ankiweb ddsg ccc
B3L07-II-14	自由	自由	zìyóu	Vs	free	slides quizlet ankiweb ccc book
B3L07-II-20	同居	同居	tóngjū	Vi	to live together (as a couple), to cohabit	slides quizlet ankiweb ddsg ccc
B3L07-II-34	風雲人物	风云人物	fēngyún rénwù		mover and shaker, popular and influential person	quizlet ankiweb ccc book
B3L08-I-10	公務員	公务员	gōngwùyuán	N	civil servant	mquizlet
